X	Y	X_Pixel	Y_Pixel
0.0	0.0	333.7	1163.2
387.624051	2.129497	397.4	1000.7
679.509632	3.716021	445.6	880.1
968.476357	5.327930	493.3	757.6
1216.579101	6.679649	534.3	654.9
1508.464682	8.278866	582.6	533.4
1806.187974	9.878082	631.8	411.8
2042.615295	10.036735	670.8	399.8
2430.823117	10.303271	735.0	379.5
2804.436661	10.468270	796.7	367.0
3271.453590	10.633268	873.8	354.5
3650.904845	10.715767	936.5	348.2
3852.305896	10.760190	969.8	344.8
3939.871570	10.106542	984.3	394.5
4173.380035	10.690383	1022.9	350.1
4421.482779	11.312301	1063.9	302.9
4617.046118	11.819988	1096.2	264.3
4754.232341	12.067486	1118.8	245.5
5624.051372	12.111909	1262.5	242.1
6309.982487	12.048448	1375.9	246.9
6788.674839	11.940564	1455.0	255.1
7646.818447	11.680374	1596.7	274.9
8318.155283	11.375762	1707.7	298.0
8881.494454	11.064803	1800.7	321.7
9614.127262	10.544423	1921.8	361.2
10162.872154	10.081158	2012.4	396.4
10591.943958	9.636931	2083.3	430.2
10953.882078	9.243473	2143.1	460.1
